workload,policy,policy_description,cpp_file_path,cache_hit_rate,score
astar,LRU,Least Recently Used (LRU) replacement policy evicts the cache line that has not been accessed for the longest time. It assumes temporal locality—recently used data is more likely to be used again. This simple stack-based heuristic is hardware-friendly but can perform poorly under non-recurring access patterns or streaming workloads.,ChampSim_CRC2/champ_repl_pol/lru.cc,0.45454223305787467,0.4168733894766456
astar,Hawkeye,"Hawkeye is a predictive replacement policy that leverages Belady's MIN algorithm as an oracle during training phases. It classifies memory accesses as cache-friendly or cache-averse using past reuse behavior. Hawkeye tracks the hit/miss patterns of PCs and predicts future reuse, evicting lines unlikely to be reused. This learned policy often outperforms heuristics in workloads with high variance in reuse patterns.",ChampSim_CRC2/champ_repl_pol/hawkeye_final.cc,0.3573547794394494,0.37579227983384317
astar,Less is More,"The Less is More (LIME) policy maintains a smaller but more predictable working set in cache by selectively caching only highly reusable data. It introduces filters or confidence thresholds to reduce cache pollution, especially effective in workloads with sparse reuse or high noise. By avoiding over-commitment, it reduces thrashing and improves effective cache utilization in irregular access patterns.",ChampSim_CRC2/champ_repl_pol/lime.cc,0.38901773944350737,0.4332826897688782
astar,Multiperspective,"Multiperspective replacement integrates multiple heuristics—temporal (recency), spatial (block adjacency), and frequency (access counts)—to make informed eviction decisions. It balances short-term reuse with longer-term utility predictions, offering adaptability across diverse workloads. This hybrid strategy is especially useful in mixed compute and memory-intensive applications.",ChampSim_CRC2/champ_repl_pol/dancrc2.cc,0.03709567109384967,0.11453256801665043
astar,Reordering-based Cache Replacement,"This policy reorders memory accesses to increase temporal locality before they reach the cache. By dynamically reshaping the access stream (e.g., via scheduling queues or address clustering), it reduces conflict misses and enhances reuse. The effectiveness is tied to how well reordering aligns with the underlying data reuse patterns of the workload.",ChampSim_CRC2/champ_repl_pol/red.cc,0.4110201774653078,0.34660260743866517
astar,Ship++,"SHiP++ (Signature-based Hit Predictor) is an enhancement over the SHiP policy, which uses PC-based signatures and outcome history to track line usefulness. SHiP++ incorporates refined predictors, decay mechanisms, and hybrid reuse classification to better handle pathological cases (e.g., thrashing). It provides strong performance across workloads with dynamic and complex reuse patterns.",ChampSim_CRC2/champ_repl_pol/ship++.cc,0.33821173935846005,0.37559793796024865
lbm,LRU,Least Recently Used (LRU) replacement policy evicts the cache line that has not been accessed for the longest time. It assumes temporal locality—recently used data is more likely to be used again. This simple stack-based heuristic is hardware-friendly but can perform poorly under non-recurring access patterns or streaming workloads.,ChampSim_CRC2/champ_repl_pol/lru.cc,0.43985783443540666,0.4168733894766456
lbm,Hawkeye,"Hawkeye is a predictive replacement policy that leverages Belady's MIN algorithm as an oracle during training phases. It classifies memory accesses as cache-friendly or cache-averse using past reuse behavior. Hawkeye tracks the hit/miss patterns of PCs and predicts future reuse, evicting lines unlikely to be reused. This learned policy often outperforms heuristics in workloads with high variance in reuse patterns.",ChampSim_CRC2/champ_repl_pol/hawkeye_final.cc,0.27289983516244354,0.37579227983384317
lbm,Less is More,"The Less is More (LIME) policy maintains a smaller but more predictable working set in cache by selectively caching only highly reusable data. It introduces filters or confidence thresholds to reduce cache pollution, especially effective in workloads with sparse reuse or high noise. By avoiding over-commitment, it reduces thrashing and improves effective cache utilization in irregular access patterns.",ChampSim_CRC2/champ_repl_pol/lime.cc,0.32972240516582263,0.4332826897688782
lbm,Multiperspective,"Multiperspective replacement integrates multiple heuristics—temporal (recency), spatial (block adjacency), and frequency (access counts)—to make informed eviction decisions. It balances short-term reuse with longer-term utility predictions, offering adaptability across diverse workloads. This hybrid strategy is especially useful in mixed compute and memory-intensive applications.",ChampSim_CRC2/champ_repl_pol/dancrc2.cc,0.011593643367720617,0.11453256801665043
lbm,Reordering-based Cache Replacement,"This policy reorders memory accesses to increase temporal locality before they reach the cache. By dynamically reshaping the access stream (e.g., via scheduling queues or address clustering), it reduces conflict misses and enhances reuse. The effectiveness is tied to how well reordering aligns with the underlying data reuse patterns of the workload.",ChampSim_CRC2/champ_repl_pol/red.cc,0.19358477211349756,0.34660260743866517
lbm,Ship++,"SHiP++ (Signature-based Hit Predictor) is an enhancement over the SHiP policy, which uses PC-based signatures and outcome history to track line usefulness. SHiP++ incorporates refined predictors, decay mechanisms, and hybrid reuse classification to better handle pathological cases (e.g., thrashing). It provides strong performance across workloads with dynamic and complex reuse patterns.",ChampSim_CRC2/champ_repl_pol/ship++.cc,0.2615846099982021,0.37559793796024865
mcf,LRU,Least Recently Used (LRU) replacement policy evicts the cache line that has not been accessed for the longest time. It assumes temporal locality—recently used data is more likely to be used again. This simple stack-based heuristic is hardware-friendly but can perform poorly under non-recurring access patterns or streaming workloads.,ChampSim_CRC2/champ_repl_pol/lru.cc,0.4074020886631043,0.4168733894766456
mcf,Hawkeye,"Hawkeye is a predictive replacement policy that leverages Belady's MIN algorithm as an oracle during training phases. It classifies memory accesses as cache-friendly or cache-averse using past reuse behavior. Hawkeye tracks the hit/miss patterns of PCs and predicts future reuse, evicting lines unlikely to be reused. This learned policy often outperforms heuristics in workloads with high variance in reuse patterns.",ChampSim_CRC2/champ_repl_pol/hawkeye_final.cc,0.5087725688923012,0.37579227983384317
